Property_ID,Property_Name,Property_Type,Property_Status,Bedrooms,Bathrooms,Area_sqft,Parking,Furnished,Construction_Year,Listing_Price,Selling_Price,Discount (%)
P00028,Urban Nest,Commercial Office,Under Construction,5,2,965,Yes,Furnished,2002,3486545,3242486.85,7
P00029,Sky Heights,Plot,Under Construction,2,5,825,Yes,Semi-Furnished,2021,9702000,8731800.0,10
P00030,Sunshine Towers,Independent House,Under Construction,6,3,2455,No,Semi-Furnished,2004,18203825,15655289.5,14
P00031,River View,Independent House,Available,1,4,1319,Yes,Unfurnished,2006,14229372,13091022.24,8
P00032,River View,Villa,Sold,1,2,3527,No,Furnished,2014,40207800,36589098.0,9
P00033,Emerald Residency,Commercial Office,Under Construction,5,1,2952,Yes,Furnished,2008,12962232,12573365.04,3
P00034,Lake View,Shop,Available,3,3,2225,No,Furnished,2021,15185625,12907781.25,15
P00035,River View,Independent House,Available,1,4,2766,Yes,Furnished,2010,12842538,11815134.96,8
P00036,City Square,Villa,Sold,5,4,579,Yes,Furnished,2022,2861418,2832803.82,1
P00037,Golden Avenue,Independent House,Under Construction,2,4,1544,Yes,Semi-Furnished,2011,4868232,4332726.48,11
P00038,Blue Horizon,Villa,Available,6,1,3397,No,Unfurnished,2023,17093704,15897144.72,7
P00039,Emerald Residency,Villa,Available,4,1,1969,No,Semi-Furnished,2025,12926485,11892366.2,8
P00040,Emerald Residency,Villa,Under Construction,1,4,817,No,Furnished,2006,8203497,7301112.33,11
P00041,Grand Palace,Independent House,Available,2,1,2082,No,Semi-Furnished,2008,7572234,6966455.28,8
P00042,Blue Horizon,Independent House,Under Construction,4,5,3212,Yes,Furnished,2008,17425100,16031092.0,8
P00043,Sky Heights,Apartment,Under Construction,4,3,3069,No,Unfurnished,2016,13485186,11866963.68,12
P00044,Sunshine Towers,Commercial Office,Sold,1,4,513,Yes,Semi-Furnished,2013,1870398,1683358.2,10
P00045,Elite Homes,Commercial Office,Under Construction,1,3,4654,No,Unfurnished,2013,36505976,32125258.88,12
P00046,Palm Residency,Shop,Under Construction,2,2,3944,No,Unfurnished,2023,21104344,19204953.04,9
P00047,Lake View,Plot,Available,3,3,2221,No,Unfurnished,2019,17277159,14858356.74,14
P00048,Urban Nest,Plot,Under Construction,2,5,4376,Yes,Unfurnished,2002,31284024,28155621.6,10
P00049,Grand Palace,Apartment,Available,6,3,2340,Yes,Furnished,2000,7621380,7087883.4,7
P00050,Golden Avenue,Plot,Available,4,4,2092,No,Semi-Furnished,2012,13591724,13048055.04,4
P00051,City Square,Shop,Available,1,4,2292,Yes,Unfurnished,2016,23174412,22942667.88,1
P00052,Sunshine Towers,Commercial Office,Available,4,2,4306,No,Semi-Furnished,2019,46375620,40346789.4,13
P00053,Urban Nest,Commercial Office,Available,6,4,4186,No,Furnished,2020,29481998,25059698.3,15
P00054,Sunshine Towers,Shop,Sold,4,1,2840,Yes,Semi-Furnished,2010,21975920,21536401.6,2
P00055,Royal Enclave,Villa,Available,4,2,2252,Yes,Semi-Furnished,2013,17838092,15340759.12,14
P00056,Green Residency,Plot,Available,4,4,660,No,Semi-Furnished,2000,5453580,4962757.8,9
P00057,Grand Palace,Plot,Sold,5,5,2306,No,Furnished,2008,22229840,18895364.0,15
P00058,Silver Oak,Apartment,Sold,6,4,1852,No,Furnished,2019,20836852,20836852.0,0
P00059,Golden Avenue,Plot,Under Construction,6,1,1187,No,Furnished,2014,6501199,6436187.01,1
P00060,Silver Oak,Independent House,Sold,2,4,3177,No,Semi-Furnished,2008,29882862,27492233.04,8
P00061,Urban Nest,Apartment,Available,6,5,926,No,Furnished,2020,3355824,3322265.76,1
P00062,Sunshine Towers,Apartment,Available,1,5,1748,Yes,Furnished,2015,7645752,7187006.88,6
P00063,City Square,Plot,Sold,3,2,1438,Yes,Semi-Furnished,2003,17228678,17228678.0,0
P00064,Golden Avenue,Independent House,Under Construction,4,4,2124,Yes,Unfurnished,2022,13759272,13346493.84,3
P00065,Emerald Residency,Shop,Sold,6,5,1491,Yes,Semi-Furnished,2017,14191338,12630290.82,11
P00066,Lake View,Apartment,Under Construction,3,1,3941,No,Furnished,2013,33238394,28585018.84,14
P00067,Royal Enclave,Shop,Sold,2,5,2712,No,Semi-Furnished,2013,18704664,16834197.6,10
P00068,Grand Palace,Villa,Available,3,4,2497,No,Unfurnished,2019,21746373,19571735.7,10
P00069,Urban Nest,Apartment,Sold,2,4,2237,No,Semi-Furnished,2010,15840197,14572981.24,8
P00070,Green Residency,Commercial Office,Under Construction,2,1,2477,No,Semi-Furnished,2017,15944449,13552781.65,15
P00071,City Square,Shop,Sold,4,1,1262,No,Furnished,2012,8185332,7448652.12,9
P00072,Golden Avenue,Shop,Sold,4,5,4849,No,Semi-Furnished,2023,55845933,50261339.7,10
P00073,City Square,Independent House,Sold,3,3,2559,Yes,Furnished,2023,14471145,13024030.5,10
P00074,City Square,Apartment,Under Construction,6,2,2069,Yes,Unfurnished,2015,14545070,13236013.7,9
P00075,Grand Palace,Apartment,Available,3,2,3456,Yes,Semi-Furnished,2000,38883456,37328117.76,4
P00076,Green Residency,Independent House,Available,5,3,1534,No,Furnished,2000,18262270,16618665.7,9
P00077,Urban Nest,Plot,Sold,3,2,920,No,Semi-Furnished,2003,3284400,2890272.0,12
P00078,Sky Heights,Plot,Under Construction,6,1,1742,Yes,Unfurnished,2009,6785090,6310133.7,7
P00079,Lake View,Apartment,Sold,5,5,2348,No,Semi-Furnished,2014,17307108,15057183.96,13
P00080,Golden Avenue,Independent House,Under Construction,1,5,1312,Yes,Unfurnished,2006,8967520,8788169.6,2
P00081,Sunshine Towers,Villa,Available,5,1,1782,Yes,Semi-Furnished,2014,18174618,16538902.38,9
P00082,Sunshine Towers,Apartment,Sold,6,3,4219,Yes,Unfurnished,2007,28832646,27102687.24,6
P00083,Sky Heights,Plot,Under Construction,2,2,2676,Yes,Furnished,2001,13963368,12706664.88,9
P00084,City Square,Commercial Office,Under Construction,3,4,1518,No,Unfurnished,2009,13804692,12700316.64,8
P00085,Lake View,Commercial Office,Sold,4,1,826,No,Unfurnished,2010,5453252,5453252.0,0
P00086,Sunshine Towers,Apartment,Under Construction,5,5,669,No,Unfurnished,2001,3592530,3053650.5,15
P00087,Blue Horizon,Commercial Office,Sold,3,2,4070,No,Furnished,2015,33374000,29035380.0,13
P00088,Elite Homes,Independent House,Under Construction,1,2,3201,No,Unfurnished,2015,23117622,20343507.36,12
P00089,Green Residency,Commercial Office,Sold,1,3,2567,No,Furnished,2024,23416174,23416174.0,0
P00090,Grand Palace,Shop,Under Construction,4,4,944,Yes,Unfurnished,2011,10069648,8659897.28,14
P00091,Sunshine Towers,Apartment,Sold,5,2,2859,No,Unfurnished,2015,12834051,12834051.0,0
P00092,Golden Avenue,Shop,Available,6,2,3045,Yes,Unfurnished,2013,12262215,11403859.95,7
P00093,Urban Nest,Apartment,Available,6,2,4582,No,Unfurnished,2022,31977778,27820666.86,13
P00094,Urban Nest,Plot,Available,4,5,1684,No,Furnished,2019,18232668,17503361.28,4
P00095,Palm Residency,Apartment,Sold,3,5,2688,Yes,Semi-Furnished,2023,19867008,16886956.8,15
P00096,Urban Nest,Villa,Under Construction,4,3,3223,No,Semi-Furnished,2010,18016570,16755410.1,7
P00097,Silver Oak,Commercial Office,Available,4,1,3106,No,Unfurnished,2025,27165076,23905266.88,12
P00098,Emerald Residency,Shop,Under Construction,2,4,803,Yes,Unfurnished,2018,6375017,6183766.49,3
P00099,Sky Heights,Plot,Under Construction,4,1,1680,No,Unfurnished,2004,6258000,5319300.0,15
P00100,Elite Homes,Independent House,Under Construction,6,4,1157,No,Unfurnished,2017,10095982,9086383.8,10
P00101,City Square,Shop,Sold,5,1,1060,Yes,Unfurnished,2021,7640480,7105646.4,7
P00102,Sky Heights,Shop,Sold,1,1,4134,Yes,Unfurnished,2009,12294516,12171570.84,1
P00103,Emerald Residency,Independent House,Available,3,3,3570,No,Furnished,2007,39991140,34792291.8,13
P00104,Blue Horizon,Commercial Office,Available,2,2,1146,No,Unfurnished,2021,7385970,6278074.5,15
P00105,Royal Enclave,Commercial Office,Available,4,3,4264,No,Unfurnished,2000,43160208,39275789.28,9
P00106,Lake View,Shop,Available,1,4,3330,No,Unfurnished,2013,21968010,18892488.6,14
P00107,Sunshine Towers,Independent House,Sold,4,1,2443,No,Unfurnished,2011,29113231,26493040.21,9
P00108,Palm Residency,Shop,Available,6,4,2748,Yes,Unfurnished,2021,9076644,7715147.4,15
P00109,Emerald Residency,Independent House,Available,5,3,2294,Yes,Unfurnished,2008,10873560,10547353.2,3
P00110,Blue Horizon,Shop,Available,3,4,773,No,Unfurnished,2004,3073448,2796837.68,9
P00111,City Square,Independent House,Sold,2,2,1582,No,Unfurnished,2016,11018630,10467698.5,5
P00112,River View,Independent House,Sold,3,3,1443,No,Furnished,2004,8940828,7867928.64,12
P00113,Elite Homes,Commercial Office,Available,4,1,2666,Yes,Semi-Furnished,2011,18115470,15941613.6,12
P00114,Elite Homes,Shop,Available,6,2,4362,Yes,Unfurnished,2017,34346388,31942140.84,7
P00115,Sky Heights,Shop,Under Construction,4,3,3844,Yes,Furnished,2001,11950996,10875406.36,9
P00116,Sky Heights,Plot,Available,2,5,1611,No,Semi-Furnished,2011,18284850,15907819.5,13
P00117,City Square,Commercial Office,Under Construction,2,4,1311,No,Unfurnished,2013,9285813,9192954.87,1
P00118,Elite Homes,Shop,Available,4,4,2434,No,Furnished,2021,20732812,18452202.68,11
P00119,Silver Oak,Apartment,Sold,2,1,4225,Yes,Unfurnished,2006,12037025,11916654.75,1
P00120,Sunshine Towers,Independent House,Available,5,2,1062,Yes,Unfurnished,2006,6708654,6037788.6,10
P00121,Emerald Residency,Villa,Under Construction,1,3,1685,Yes,Unfurnished,2008,9028230,8757383.1,3
P00122,Grand Palace,Shop,Available,2,1,3434,Yes,Unfurnished,2010,9470972,8997423.4,5
P00123,Green Residency,Independent House,Available,6,4,4809,Yes,Unfurnished,2002,49542318,42606393.48,14
P00124,Lake View,Independent House,Under Construction,1,4,4627,Yes,Unfurnished,2001,51095961,46497324.51,9
P00125,Blue Horizon,Plot,Available,1,4,3790,No,Unfurnished,2003,39916280,34328000.8,14
P00126,River View,Apartment,Available,3,5,1715,Yes,Furnished,2008,19695060,17725554.0,10
P00127,Golden Avenue,Plot,Under Construction,3,4,4641,No,Furnished,2025,20299734,19081749.96,6
P00128,Urban Nest,Plot,Available,4,3,4215,No,Semi-Furnished,2023,17100255,15390229.5,10
P00129,Elite Homes,Plot,Under Construction,3,3,1750,No,Furnished,2002,6821500,6685070.0,2
P00130,Sky Heights,Plot,Under Construction,6,3,1565,Yes,Unfurnished,2017,18313630,16482267.0,10
P00131,Sky Heights,Shop,Sold,3,4,921,No,Unfurnished,2009,7608381,7380129.57,3
P00132,Lake View,Commercial Office,Available,2,4,2337,Yes,Semi-Furnished,2017,19915914,19318436.58,3
P00133,Golden Avenue,Independent House,Available,4,5,715,No,Furnished,2005,4988555,4539585.05,9
P00134,Elite Homes,Independent House,Available,2,2,3783,Yes,Furnished,2023,11356566,11129434.68,2
P00135,Lake View,Shop,Available,4,4,4216,No,Furnished,2011,32062680,28856412.0,10
P00136,Golden Avenue,Commercial Office,Available,1,2,1789,Yes,Unfurnished,2002,12447862,10705161.32,14
P00137,Silver Oak,Shop,Sold,5,4,3892,No,Furnished,2024,42399448,41127464.56,3
P00138,Silver Oak,Independent House,Available,3,5,4486,No,Furnished,2007,40261850,39859231.5,1
P00139,Sunshine Towers,Apartment,Sold,2,2,2593,No,Semi-Furnished,2003,6809218,5787835.3,15
P00140,Silver Oak,Shop,Available,2,4,4862,Yes,Unfurnished,2017,40364324,39557037.52,2
P00141,Grand Palace,Plot,Under Construction,1,4,653,No,Furnished,2010,7792249,6779256.63,13
P00142,Silver Oak,Commercial Office,Under Construction,6,4,2871,Yes,Semi-Furnished,2000,22454091,21331386.45,5
P00143,Urban Nest,Commercial Office,Under Construction,3,1,4077,Yes,Furnished,2013,36937620,36198867.6,2
P00144,Grand Palace,Plot,Sold,6,3,2315,No,Furnished,2002,25147845,24393409.65,3
P00145,Lake View,Commercial Office,Available,3,3,1709,Yes,Furnished,2004,11438337,10752036.78,6
P00146,Golden Avenue,Villa,Available,6,1,1951,No,Semi-Furnished,2024,22896936,19691364.96,14
P00147,River View,Shop,Under Construction,6,5,3147,No,Furnished,2014,11385846,9677969.1,15
P00148,Blue Horizon,Plot,Sold,3,5,960,No,Unfurnished,2002,7281600,6262176.0,14
P00149,Green Residency,Plot,Available,3,3,1128,Yes,Unfurnished,2019,12190296,10727460.48,12
P00150,Golden Avenue,Plot,Under Construction,6,1,4184,Yes,Semi-Furnished,2019,43061728,41339258.88,4
P00151,Urban Nest,Apartment,Available,3,1,4633,Yes,Furnished,2007,44810376,38536923.36,14
P00152,Lake View,Commercial Office,Under Construction,2,3,3554,No,Semi-Furnished,2013,28584822,28298973.78,1
P00153,Blue Horizon,Shop,Sold,1,3,1274,No,Semi-Furnished,2008,6322862,5690575.8,10
P00154,Golden Avenue,Apartment,Under Construction,2,3,3041,No,Furnished,2019,11823408,10759301.28,9
P00155,Silver Oak,Commercial Office,Under Construction,3,2,4812,Yes,Unfurnished,2021,45410844,40415651.16,11
P00156,Elite Homes,Apartment,Sold,2,2,3299,No,Furnished,2007,15680147,15052941.12,4
P00157,Palm Residency,Apartment,Available,5,5,4813,Yes,Unfurnished,2010,22366011,19682089.68,12
P00158,Royal Enclave,Villa,Available,6,5,1856,No,Furnished,2013,15716608,14616445.44,7
P00159,Golden Avenue,Plot,Sold,6,4,2416,Yes,Semi-Furnished,2025,24604544,23128271.36,6
P00160,Blue Horizon,Independent House,Under Construction,4,4,2808,No,Unfurnished,2016,26280072,24966068.4,5
P00161,Emerald Residency,Villa,Under Construction,2,3,927,No,Semi-Furnished,2017,3874860,3758614.2,3
P00162,Sky Heights,Independent House,Available,3,4,4705,Yes,Semi-Furnished,2002,28874585,24832143.1,14
P00163,River View,Independent House,Available,4,1,3747,No,Furnished,2012,14377239,12795742.71,11
P00164,Green Residency,Villa,Sold,1,3,1696,Yes,Furnished,2009,17367040,16672358.4,4
P00165,Urban Nest,Shop,Sold,5,1,1149,Yes,Semi-Furnished,2006,5686401,4947168.87,13
P00166,Emerald Residency,Apartment,Sold,2,3,1498,Yes,Furnished,2013,14963522,14664251.56,2
P00167,Grand Palace,Apartment,Sold,5,5,634,Yes,Unfurnished,2004,4610448,4011089.76,13
P00168,Golden Avenue,Apartment,Sold,2,5,3912,Yes,Unfurnished,2021,15264624,13585515.36,11
P00169,Lake View,Apartment,Under Construction,5,5,666,No,Semi-Furnished,2001,5886108,5238636.12,11
P00170,City Square,Independent House,Available,3,1,3324,Yes,Unfurnished,2021,13954152,12558736.8,10
P00171,Green Residency,Villa,Sold,5,3,1934,No,Unfurnished,2015,10609924,10185527.04,4
P00172,City Square,Apartment,Sold,1,3,2151,Yes,Furnished,2001,16498170,15013334.7,9
P00173,Silver Oak,Commercial Office,Under Construction,4,3,799,Yes,Semi-Furnished,2011,2623117,2360805.3,10
P00174,Sky Heights,Independent House,Sold,4,4,4102,No,Semi-Furnished,2005,43600158,37060134.3,15
P00175,River View,Independent House,Under Construction,3,1,3977,Yes,Semi-Furnished,2019,21698512,19745645.92,9
P00176,Sky Heights,Independent House,Available,3,3,3010,No,Unfurnished,2022,28537810,27110919.5,5
P00177,Urban Nest,Shop,Sold,4,1,3388,No,Semi-Furnished,2020,11651332,11418305.36,2
P00178,Blue Horizon,Shop,Sold,3,5,1810,Yes,Furnished,2019,17518990,17343800.1,1
P00179,Sky Heights,Villa,Available,6,3,3466,No,Unfurnished,2001,17375058,14942549.88,14
P00180,Elite Homes,Independent House,Sold,1,5,1627,No,Semi-Furnished,2010,11496382,10691635.26,7
P00181,Green Residency,Apartment,Under Construction,2,4,4741,No,Unfurnished,2003,32181908,29607355.36,8
P00182,Urban Nest,Shop,Available,5,3,4523,Yes,Furnished,2004,16793899,14442753.14,14
P00183,River View,Villa,Under Construction,4,1,3118,No,Unfurnished,2002,35891298,32661081.18,9
P00184,Grand Palace,Independent House,Available,6,2,3461,Yes,Furnished,2006,16526275,15369435.75,7
P00185,Green Residency,Plot,Sold,5,5,3522,No,Unfurnished,2004,13778064,13502502.72,2
P00186,Silver Oak,Independent House,Under Construction,6,4,4806,No,Semi-Furnished,2018,17820648,17107822.08,4
P00187,Blue Horizon,Independent House,Available,4,4,4738,No,Furnished,2024,54638616,51906685.2,5
P00188,Silver Oak,Villa,Under Construction,1,1,4744,Yes,Semi-Furnished,2005,24445832,22001248.8,10
P00189,Sunshine Towers,Shop,Sold,5,3,1146,No,Furnished,2020,13206504,12149983.68,8
P00190,Blue Horizon,Villa,Sold,5,5,1265,Yes,Unfurnished,2018,6357890,6039995.5,5
P00191,Golden Avenue,Shop,Under Construction,5,3,837,Yes,Furnished,2001,10001313,9201207.96,8
P00192,Sunshine Towers,Shop,Under Construction,4,5,748,No,Unfurnished,2017,5419260,4931526.6,9
P00193,Sunshine Towers,Plot,Under Construction,4,3,4215,Yes,Unfurnished,2001,21450135,18447116.1,14
P00194,Urban Nest,Plot,Sold,2,3,1676,No,Unfurnished,2010,13672808,12032071.04,12
P00195,Emerald Residency,Villa,Sold,5,5,1369,No,Furnished,2014,6170083,5676476.36,8
P00196,Sunshine Towers,Plot,Available,1,1,2877,No,Unfurnished,2013,18893259,17948596.05,5
P00197,River View,Independent House,Under Construction,6,3,2055,Yes,Semi-Furnished,2016,20854140,17726019.0,15
P00198,Urban Nest,Independent House,Available,1,4,4640,No,Furnished,2006,38423840,38039601.6,1
P00199,Palm Residency,Apartment,Sold,5,4,2840,Yes,Furnished,2013,13330960,12264483.2,8
P00200,Elite Homes,Shop,Sold,3,1,3781,Yes,Unfurnished,2017,21510109,19143997.01,11
P00201,Palm Residency,Commercial Office,Available,4,5,4189,No,Unfurnished,2021,18624294,17879322.24,4
P00202,Silver Oak,Apartment,Sold,3,5,3495,Yes,Furnished,2019,37889295,33342579.6,12
P00203,Green Residency,Commercial Office,Available,1,2,3228,No,Unfurnished,2014,15946320,15308467.2,4
P00204,River View,Independent House,Under Construction,3,2,3719,No,Unfurnished,2010,40206109,34175192.65,15
P00205,Golden Avenue,Shop,Sold,4,1,3517,No,Unfurnished,2003,32792508,29841182.28,9
P00206,Grand Palace,Shop,Under Construction,6,1,4387,No,Unfurnished,2025,52543099,48865082.07,7
P00207,Green Residency,Shop,Under Construction,4,2,4794,No,Furnished,2021,31007592,30697516.08,1
P00208,City Square,Commercial Office,Available,2,1,4112,No,Semi-Furnished,2004,38097680,35811819.2,6
P00209,Lake View,Plot,Under Construction,4,1,1631,Yes,Unfurnished,2010,16859647,14836489.36,12
P00210,Royal Enclave,Independent House,Sold,5,3,4975,No,Unfurnished,2024,33984225,28886591.25,15
P00211,Sunshine Towers,Villa,Sold,5,3,2342,No,Semi-Furnished,2022,13808432,11737167.2,15
P00212,Urban Nest,Independent House,Sold,5,3,2857,Yes,Unfurnished,2021,32566943,28658909.84,12
P00213,Grand Palace,Plot,Sold,2,3,844,No,Unfurnished,2002,6898856,5933016.16,14
P00214,Palm Residency,Shop,Under Construction,4,2,2155,No,Unfurnished,2022,14977250,14378160.0,4
P00215,Golden Avenue,Apartment,Under Construction,5,2,2486,Yes,Unfurnished,2016,15405742,14327340.06,7
P00216,Sky Heights,Apartment,Sold,3,4,1323,Yes,Furnished,2017,6730101,5855187.87,13
P00217,River View,Shop,Sold,4,2,2853,No,Semi-Furnished,2020,9897057,9699115.86,2
P00218,Golden Avenue,Shop,Available,5,1,1934,No,Furnished,2001,17413736,14801675.6,15
P00219,River View,Villa,Under Construction,3,1,575,No,Unfurnished,2019,2448350,2203515.0,10
P00220,Urban Nest,Independent House,Under Construction,5,5,4546,Yes,Unfurnished,2014,31685620,29784482.8,6
P00221,Elite Homes,Apartment,Available,6,4,2607,Yes,Furnished,2023,20915961,19033524.51,9
P00222,Blue Horizon,Commercial Office,Available,2,5,3821,No,Unfurnished,2010,14982141,13184284.08,12
P00223,Sky Heights,Shop,Available,2,4,3150,Yes,Furnished,2008,27669600,25732728.0,7
P00224,Emerald Residency,Plot,Sold,3,3,593,No,Unfurnished,2011,3778003,3740222.97,1
P00225,Sky Heights,Shop,Sold,3,2,3821,No,Unfurnished,2003,28019393,24937259.77,11
P00226,Sunshine Towers,Commercial Office,Available,2,4,1754,No,Unfurnished,2019,15121234,13155473.58,13
P00227,Lake View,Shop,Sold,5,2,2527,Yes,Unfurnished,2014,28183631,25083431.59,11
P00228,River View,Apartment,Under Construction,1,1,4986,Yes,Unfurnished,2017,24705630,23470348.5,5
P00229,Grand Palace,Independent House,Under Construction,4,1,2182,No,Furnished,2016,21379236,21165443.64,1
P00230,Royal Enclave,Plot,Under Construction,4,4,972,No,Unfurnished,2025,7337628,7337628.0,0
P00231,Palm Residency,Plot,Available,6,2,1098,Yes,Semi-Furnished,2011,3891312,3852398.88,1
P00232,River View,Apartment,Sold,1,3,3849,Yes,Furnished,2024,36130563,32156201.07,11
P00233,Urban Nest,Plot,Sold,4,1,4917,Yes,Unfurnished,2011,21846231,20753919.45,5
P00234,Silver Oak,Commercial Office,Under Construction,2,2,528,Yes,Semi-Furnished,2014,6029760,5245891.2,13
P00235,Silver Oak,Commercial Office,Available,2,4,3335,Yes,Semi-Furnished,2006,14500580,14355574.2,1
P00236,Silver Oak,Shop,Under Construction,1,2,2188,Yes,Furnished,2019,6673400,5739124.0,14
P00237,Blue Horizon,Commercial Office,Under Construction,1,2,862,No,Semi-Furnished,2007,9777666,9191006.04,6
P00238,Royal Enclave,Apartment,Under Construction,3,2,3112,No,Furnished,2009,15083864,14027993.52,7
P00239,Palm Residency,Plot,Sold,1,5,1934,No,Unfurnished,2015,6320312,5625077.68,11
P00240,Blue Horizon,Shop,Sold,5,3,3910,No,Furnished,2009,33887970,32193571.5,5
P00241,Urban Nest,Commercial Office,Available,2,3,1682,No,Furnished,2017,15577002,13551991.74,13
P00242,Lake View,Commercial Office,Available,4,2,2588,Yes,Semi-Furnished,2020,9821460,8446455.6,14
P00243,Sky Heights,Independent House,Under Construction,6,2,922,No,Semi-Furnished,2021,2901534,2843503.32,2
P00244,Emerald Residency,Villa,Under Construction,6,5,2277,No,Furnished,2010,17002359,17002359.0,0
P00245,River View,Villa,Available,6,1,4423,Yes,Unfurnished,2019,25874550,22769604.0,12
P00246,Lake View,Villa,Sold,3,4,4319,No,Semi-Furnished,2008,36245048,30808290.8,15
P00247,Sky Heights,Plot,Under Construction,4,3,2164,No,Semi-Furnished,2013,7030836,6538677.48,7
P00248,Royal Enclave,Shop,Available,3,5,3920,No,Furnished,2006,30983680,28814822.4,7
P00249,Golden Avenue,Plot,Available,4,5,3265,No,Semi-Furnished,2023,34403305,29586842.3,14
P00250,City Square,Villa,Sold,2,2,4977,No,Furnished,2017,17230374,17058070.26,1
P00251,Grand Palace,Apartment,Under Construction,1,1,3878,Yes,Unfurnished,2007,14011214,13450765.44,4
P00252,Sunshine Towers,Apartment,Under Construction,4,3,995,No,Unfurnished,2015,2743215,2743215.0,0
P00253,Lake View,Commercial Office,Sold,1,1,4836,No,Unfurnished,2009,13444080,11696349.6,13
P00254,Sky Heights,Villa,Available,5,2,2474,Yes,Unfurnished,2016,16414990,14609341.1,11
P00255,Emerald Residency,Independent House,Sold,1,3,3826,No,Unfurnished,2007,23721200,21586292.0,9
P00256,Grand Palace,Shop,Available,6,1,1265,No,Semi-Furnished,2012,14617075,12424513.75,15
P00257,Blue Horizon,Apartment,Available,6,2,1177,No,Semi-Furnished,2020,9330079,9050176.63,3
P00258,River View,Commercial Office,Available,2,2,4395,No,Furnished,2002,31173735,30861997.65,1
P00259,River View,Villa,Sold,1,2,1681,No,Furnished,2009,8675641,8068346.13,7
P00260,Grand Palace,Commercial Office,Sold,6,5,3217,No,Unfurnished,2004,12173128,10834083.92,11
P00261,Sky Heights,Apartment,Sold,2,1,3290,No,Semi-Furnished,2000,22957620,19743553.2,14
P00262,Sunshine Towers,Plot,Sold,5,4,4037,Yes,Unfurnished,2018,35230899,34526281.02,2
P00263,Palm Residency,Commercial Office,Available,6,1,1172,No,Furnished,2012,5891644,5184646.72,12
P00264,Elite Homes,Independent House,Available,1,1,3025,No,Semi-Furnished,2024,20929975,20302075.75,3
P00265,Sky Heights,Villa,Available,4,4,4697,No,Furnished,2000,18637696,16587549.44,11
P00266,Sky Heights,Commercial Office,Under Construction,5,3,3655,Yes,Semi-Furnished,2013,32357715,31710560.7,2
P00267,River View,Shop,Under Construction,2,5,4768,Yes,Unfurnished,2012,25160736,24154306.56,4
P00268,Palm Residency,Independent House,Sold,4,2,1018,Yes,Semi-Furnished,2008,9568182,8707045.62,9
P00269,Emerald Residency,Plot,Available,3,3,2520,No,Unfurnished,2019,14371560,12359541.6,14
