Property_ID,Swimming_Pool,Gym,Garden,Lift,Security,Power_Backup,Club_House,CCTV,Childrens_Play_Area
P00061,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00062,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00063,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00064,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00065,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00066,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00067,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00068,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
P00069,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00070,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00071,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
P00072,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00073,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00074,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00075,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00076,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00077,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00078,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00079,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00080,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00081,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00082,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00083,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00084,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00085,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00086,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00087,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00088,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00089,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00090,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00091,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00092,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00093,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00094,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00095,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00096,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
P00097,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00098,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00099,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00100,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P00101,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00105,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00106,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00107,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00108,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00109,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00110,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00111,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00112,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00113,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P00114,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00115,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00116,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00117,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
P00118,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
P00119,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P00120,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00121,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P00122,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00123,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00124,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00125,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00126,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00127,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00128,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00129,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00130,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P00131,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00132,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00133,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00134,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
P00135,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00136,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00137,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00138,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00139,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00140,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P00141,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00142,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
P00143,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P00144,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00145,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00146,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00147,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00148,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00149,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00150,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00151,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00152,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00153,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00154,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00155,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00156,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00157,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00158,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P00159,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00160,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00161,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00162,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00163,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00164,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00165,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00166,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
P00167,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00168,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00169,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00170,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00171,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00172,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00173,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00174,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00175,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00176,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00177,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00178,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
P00179,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00180,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00181,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00182,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00183,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00184,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P00185,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P00186,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00187,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00188,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
P00189,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00190,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00191,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P00192,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
P00193,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00194,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00195,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00196,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00197,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00198,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
P00199,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P00200,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00201,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00202,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00203,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P00204,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00205,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00206,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00207,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00208,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00209,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00210,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00211,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
P00212,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00213,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00214,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00215,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00216,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00217,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00218,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00219,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00220,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00221,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00222,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00223,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00224,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00225,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00226,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00227,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00228,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00229,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00230,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00231,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00232,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00233,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00234,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00235,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00236,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00237,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00238,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00239,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00240,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P00241,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00242,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00243,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00244,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00245,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00246,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00247,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00248,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00249,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00250,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00251,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00252,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00253,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00254,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00255,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00256,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00257,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00258,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00259,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00260,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00261,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00262,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00263,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00264,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00265,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00266,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00267,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00268,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00269,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00270,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00271,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00272,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00273,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00274,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00275,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00276,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00277,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
P00278,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00279,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00280,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00281,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00282,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00283,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
P00284,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00285,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00286,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00287,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00288,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00289,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00290,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00291,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00292,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
P00293,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00294,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00295,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00296,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00297,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00298,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00299,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00300,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00301,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
P00302,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00303,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00304,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00305,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P00306,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00307,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
P00308,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00309,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00310,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00311,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00312,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00313,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00314,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00315,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00316,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00317,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00318,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
P00319,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00320,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00321,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00322,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00323,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00324,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
P00325,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00326,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00327,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00328,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00329,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
P00330,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00331,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00332,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00333,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00334,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00335,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
P00336,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00337,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00338,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
P00339,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00340,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
P00341,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00342,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00343,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00344,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00345,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00346,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00347,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00348,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00349,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00350,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
P00351,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00352,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00353,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00354,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P00355,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
P00356,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
