Sale_ID,Property_ID,Customer_ID,Agent_ID,Listing_Date,Sale_Date,Days_On_Market,Payment_Method,Loan_Approved,Sale_Status
S00031,P12322,C15208,A0206,6/6/2022,6/8/2025,1098,UPI,Yes,Completed
S00032,P27775,C12190,A0355,10/2/2025,4/13/2026,193,Home Loan,No,Completed
S00033,P08701,C01394,A0482,9/13/2023,12/27/2025,836,RTGS,Yes,Completed
S00034,P01491,C12968,A0476,10/26/2024,5/14/2026,565,NEFT,No,Completed
S00035,P02359,C13371,A0304,9/5/2021,11/19/2023,805,NEFT,Yes,Completed
S00036,P13263,C10917,A0295,8/21/2021,5/3/2022,255,RTGS,Yes,Completed
S00037,P29898,C03158,A0459,7/30/2023,3/16/2024,230,Home Loan,No,Completed
S00038,P08311,C19767,A0472,11/29/2022,9/15/2024,656,NEFT,No,Completed
S00039,P08034,C02576,A0090,2/7/2026,5/15/2026,97,UPI,No,Completed
S00040,P13850,C16606,A0143,11/29/2024,4/2/2025,124,RTGS,Yes,Completed
S00041,P27283,C01929,A0016,8/16/2025,12/26/2025,132,UPI,No,Completed
S00042,P12053,C17532,A0382,4/1/2024,1/23/2026,662,Home Loan,No,Completed
S00043,P13721,C08722,A0152,12/6/2021,5/12/2026,1618,RTGS,No,Completed
S00044,P07556,C08762,A0050,1/20/2023,10/7/2023,260,RTGS,Yes,Completed
S00045,P25610,C11055,A0433,1/2/2026,5/30/2026,148,Bank Loan,Yes,Completed
S00046,P25581,C02415,A0387,10/30/2023,6/12/2026,956,NEFT,No,Completed
S00047,P14231,C17482,A0325,12/10/2023,3/6/2024,87,Home Loan,No,Completed
S00048,P09219,C01102,A0424,4/9/2026,6/5/2026,57,Home Loan,Yes,Completed
S00049,P11256,C04531,A0486,10/14/2025,4/25/2026,193,NEFT,No,Completed
S00050,P16168,C13349,A0116,4/18/2023,12/14/2025,971,Bank Loan,Yes,Completed
S00051,P25604,C17620,A0114,12/5/2022,6/24/2025,932,NEFT,No,Completed
S00052,P04826,C07283,A0394,2/1/2025,12/27/2025,329,Bank Loan,Yes,Cancelled
S00053,P14613,C02630,A0017,9/9/2021,4/15/2022,218,Cash,Yes,Completed
S00054,P10135,C03154,A0410,7/26/2023,11/2/2023,99,RTGS,Yes,Completed
S00055,P10057,C11422,A0462,10/20/2022,11/3/2024,745,Cash,No,Completed
S00056,P26369,C15122,A0400,1/30/2025,6/11/2025,132,Home Loan,No,Completed
S00057,P08629,C03662,A0369,6/27/2024,12/25/2025,546,Cash,Yes,Completed
S00058,P12038,C01369,A0117,8/27/2021,5/12/2026,1719,UPI,No,Completed
S00059,P02141,C03104,A0227,11/12/2024,9/29/2025,321,Cash,Yes,Completed
S00060,P25043,C07274,A0385,11/1/2024,11/28/2024,27,Home Loan,No,Pending
S00061,P08755,C09103,A0239,6/15/2024,7/30/2025,410,Home Loan,Yes,Completed
S00062,P07693,C12276,A0215,9/29/2022,10/27/2025,1124,RTGS,No,Completed
S00063,P22436,C03843,A0408,8/4/2025,9/3/2025,30,RTGS,Yes,Completed
S00064,P15565,C04351,A0478,9/19/2024,7/14/2025,298,RTGS,Yes,Completed
S00065,P01900,C16125,A0195,11/16/2023,9/21/2024,310,Cash,Yes,Completed
S00066,P08009,C15361,A0326,7/9/2024,1/26/2025,201,Bank Loan,No,Completed
S00067,P26845,C02383,A0297,8/20/2021,7/6/2022,320,NEFT,Yes,Completed
S00068,P11639,C01405,A0172,8/23/2022,2/19/2026,1276,NEFT,Yes,Completed
S00069,P10709,C13138,A0009,9/20/2024,4/4/2026,561,NEFT,No,Completed
S00070,P16764,C00615,A0385,3/24/2023,5/19/2024,422,NEFT,No,Completed
S00071,P24481,C15762,A0088,3/7/2025,3/29/2026,387,Cash,Yes,Completed
S00072,P11107,C00335,A0416,12/4/2024,5/15/2026,527,Cash,No,Completed
S00073,P07328,C03099,A0452,10/4/2025,10/14/2025,10,Home Loan,Yes,Completed
S00074,P14982,C18621,A0107,11/24/2025,6/19/2026,207,Bank Loan,No,Completed
S00075,P19082,C08547,A0076,11/23/2024,7/4/2026,588,Bank Loan,No,Completed
S00076,P14702,C10752,A0326,11/16/2022,12/15/2022,29,UPI,No,Pending
S00077,P00871,C04194,A0436,4/19/2023,5/20/2024,397,RTGS,Yes,Completed
S00078,P26898,C08984,A0128,12/10/2025,6/22/2026,194,UPI,Yes,Pending
S00079,P18408,C18803,A0369,3/16/2022,10/11/2025,1305,Cash,No,Completed
S00080,P02979,C17665,A0224,1/28/2024,4/18/2025,446,Cash,Yes,Completed
S00081,P29686,C07495,A0047,4/16/2025,1/13/2026,272,Cash,Yes,Completed
S00082,P29424,C18943,A0409,4/28/2023,6/1/2025,765,Home Loan,Yes,Completed
S00083,P28614,C16601,A0464,12/4/2025,1/10/2026,37,UPI,No,Cancelled
S00084,P25836,C06451,A0405,6/8/2022,3/1/2026,1362,Home Loan,Yes,Completed
S00085,P28814,C18801,A0273,4/10/2026,6/4/2026,55,Cash,Yes,Completed
S00086,P20097,C17942,A0261,11/17/2022,7/17/2024,608,Cash,No,Completed
S00087,P02034,C08067,A0019,4/23/2023,1/10/2024,262,Home Loan,Yes,Completed
S00088,P27244,C07059,A0397,7/28/2022,4/9/2026,1351,Cash,Yes,Completed
S00089,P21829,C04400,A0428,4/30/2026,5/30/2026,30,Home Loan,Yes,Completed
S00090,P20014,C18250,A0398,1/19/2025,7/24/2025,186,Cash,Yes,Completed
S00091,P17414,C18542,A0295,2/12/2024,9/19/2025,585,UPI,Yes,Completed
S00092,P29531,C00129,A0017,10/16/2023,10/27/2025,742,Bank Loan,Yes,Completed
S00093,P04106,C08172,A0325,8/26/2024,10/14/2025,414,UPI,No,Completed
S00094,P13467,C08524,A0404,7/18/2025,9/26/2025,70,Cash,No,Completed
S00095,P25465,C06988,A0334,1/20/2024,7/4/2024,166,Home Loan,Yes,Completed
S00096,P24280,C16056,A0295,6/14/2022,7/18/2024,765,Home Loan,No,Completed
S00097,P07902,C04979,A0051,10/17/2023,10/6/2025,720,Cash,Yes,Completed
S00098,P21375,C12333,A0254,12/22/2022,7/20/2023,210,UPI,No,Completed
S00099,P02620,C01459,A0268,4/26/2026,5/5/2026,9,Cash,No,Cancelled
S00100,P19266,C02362,A0117,10/26/2021,9/3/2023,677,NEFT,No,Completed
S00101,P06127,C16044,A0280,4/22/2024,6/23/2025,427,UPI,No,Completed
S00102,P27399,C07966,A0078,10/19/2024,7/30/2025,284,RTGS,No,Completed
S00103,P15587,C09365,A0240,12/12/2025,5/5/2026,144,Bank Loan,No,Completed
S00104,P13072,C06535,A0315,1/14/2025,9/11/2025,240,Bank Loan,No,Completed
S00105,P08177,C16749,A0442,11/19/2021,1/19/2022,61,NEFT,Yes,Completed
S00106,P13860,C00770,A0119,3/26/2025,6/24/2025,90,UPI,Yes,Completed
S00107,P12867,C15558,A0467,4/27/2026,5/10/2026,13,Home Loan,Yes,Completed
S00108,P02113,C19755,A0211,7/7/2024,10/7/2024,92,Bank Loan,No,Completed
S00109,P08753,C03541,A0417,2/10/2026,3/16/2026,34,UPI,Yes,Completed
S00110,P01255,C13193,A0238,1/4/2024,10/14/2025,649,Bank Loan,Yes,Completed
S00111,P27508,C15343,A0424,5/2/2025,6/13/2025,42,Home Loan,Yes,Completed
S00112,P25489,C12449,A0265,7/9/2022,12/13/2022,157,RTGS,Yes,Completed
S00113,P12688,C08365,A0428,11/10/2025,6/25/2026,227,UPI,No,Completed
S00114,P12032,C01178,A0019,6/23/2022,5/5/2024,682,Home Loan,Yes,Completed
S00115,P09046,C12072,A0375,10/11/2025,12/24/2025,74,UPI,Yes,Completed
S00116,P21269,C14074,A0053,10/11/2023,10/4/2025,724,Bank Loan,No,Completed
S00117,P18897,C08709,A0072,12/31/2025,2/17/2026,48,Home Loan,Yes,Completed
S00118,P01577,C07729,A0265,3/30/2026,4/28/2026,29,Home Loan,Yes,Completed
S00119,P29276,C15281,A0401,9/20/2023,11/28/2025,800,UPI,Yes,Completed
S00120,P16600,C12589,A0293,3/29/2026,5/13/2026,45,Home Loan,Yes,Completed
S00121,P04383,C12828,A0397,6/12/2025,6/4/2026,357,Bank Loan,Yes,Completed
S00122,P02158,C10740,A0016,6/30/2025,9/24/2025,86,Bank Loan,No,Completed
S00123,P08267,C03323,A0307,12/6/2021,7/24/2022,230,Bank Loan,No,Completed
S00124,P28791,C10455,A0299,1/5/2024,3/17/2025,437,RTGS,Yes,Completed
S00125,P20818,C15367,A0176,4/4/2024,8/8/2025,491,Bank Loan,No,Completed
S00126,P23813,C17756,A0137,1/7/2023,5/24/2024,503,NEFT,Yes,Completed
S00127,P25754,C12068,A0387,7/22/2023,1/25/2025,553,Bank Loan,No,Pending
S00128,P16382,C04688,A0230,11/19/2022,2/3/2025,807,RTGS,Yes,Completed
S00129,P04031,C05330,A0003,8/5/2024,11/10/2025,462,UPI,No,Completed
S00130,P19094,C17000,A0225,11/16/2023,12/19/2024,399,Cash,No,Completed
S00131,P02820,C05659,A0390,2/13/2025,3/29/2026,409,UPI,Yes,Completed
S00132,P15643,C17677,A0476,7/11/2024,1/23/2026,561,Home Loan,No,Pending
S00133,P15648,C15625,A0126,5/25/2024,5/23/2026,728,Cash,No,Completed
S00134,P13435,C07150,A0350,12/1/2021,10/19/2024,1053,Home Loan,No,Completed
S00135,P29083,C05190,A0371,5/29/2024,8/12/2025,440,RTGS,No,Completed
S00136,P22521,C07242,A0436,9/25/2024,6/23/2026,636,Home Loan,Yes,Completed
S00137,P10249,C00095,A0392,6/14/2023,1/11/2024,211,UPI,Yes,Completed
S00138,P02369,C00194,A0074,6/14/2025,9/1/2025,79,Cash,Yes,Completed
S00139,P17078,C04418,A0250,5/15/2026,5/29/2026,14,NEFT,Yes,Completed
S00140,P09069,C02953,A0358,5/18/2024,12/7/2025,568,UPI,Yes,Completed
S00141,P05768,C18968,A0133,3/29/2025,3/28/2026,364,Bank Loan,Yes,Completed
S00142,P16435,C18765,A0286,4/29/2026,5/22/2026,23,Bank Loan,No,Completed
S00143,P26457,C06159,A0194,10/14/2021,3/21/2023,523,Bank Loan,Yes,Cancelled
S00144,P11909,C06781,A0293,3/13/2025,7/24/2025,133,UPI,No,Pending
S00145,P26583,C01835,A0386,2/4/2026,4/20/2026,75,RTGS,No,Completed
S00146,P17657,C18625,A0048,9/28/2022,9/9/2024,712,Cash,Yes,Completed
S00147,P28829,C18556,A0399,10/21/2022,7/3/2023,255,UPI,Yes,Completed
S00148,P02486,C02142,A0068,7/18/2023,7/6/2024,354,Home Loan,No,Completed
S00149,P16308,C10097,A0208,11/30/2024,6/19/2025,201,NEFT,No,Completed
S00150,P25004,C16971,A0364,8/28/2024,11/10/2025,439,Bank Loan,No,Pending
S00151,P04158,C18926,A0130,12/12/2022,4/22/2024,497,NEFT,Yes,Completed
S00152,P15239,C13925,A0202,5/5/2025,6/3/2025,29,RTGS,No,Completed
S00153,P04816,C01788,A0239,10/6/2022,3/28/2026,1269,NEFT,Yes,Completed
S00154,P02355,C10391,A0258,8/17/2024,10/27/2024,71,UPI,No,Completed
S00155,P12446,C02108,A0160,2/12/2023,5/18/2024,461,NEFT,Yes,Completed
S00156,P27841,C19387,A0179,4/30/2024,12/21/2024,235,Bank Loan,Yes,Completed
S00157,P02408,C04178,A0177,5/14/2024,3/7/2026,662,UPI,No,Completed
S00158,P20586,C16725,A0180,3/17/2024,5/1/2024,45,Home Loan,No,Completed
S00159,P05483,C06752,A0314,9/4/2021,1/21/2026,1600,Cash,Yes,Completed
S00160,P07164,C13957,A0267,7/21/2022,8/13/2022,23,Bank Loan,No,Completed
S00161,P01695,C01339,A0049,9/21/2023,6/11/2024,264,Cash,No,Pending
S00162,P28399,C03267,A0188,8/12/2024,7/24/2025,346,UPI,No,Completed
S00163,P14822,C13714,A0171,6/16/2025,10/6/2025,112,NEFT,No,Completed
S00164,P28412,C06668,A0028,5/30/2023,10/21/2025,875,Bank Loan,No,Completed
S00165,P21091,C02218,A0367,1/17/2022,6/20/2026,1615,NEFT,Yes,Completed
S00166,P09410,C01479,A0259,7/2/2024,6/23/2026,721,NEFT,Yes,Completed
S00167,P07283,C07771,A0189,8/1/2025,5/14/2026,286,RTGS,Yes,Completed
S00168,P24045,C02393,A0072,11/20/2025,12/22/2025,32,UPI,No,Completed
S00169,P17519,C17872,A0046,1/4/2023,6/3/2025,881,UPI,No,Cancelled
S00170,P05212,C11371,A0324,9/7/2025,6/6/2026,272,RTGS,No,Completed
S00171,P05719,C14800,A0211,7/16/2021,11/26/2021,133,Home Loan,No,Completed
S00172,P26214,C07910,A0427,10/8/2022,6/30/2026,1361,RTGS,No,Completed
S00173,P12270,C19513,A0365,8/28/2022,10/6/2025,1135,UPI,Yes,Completed
S00174,P29068,C13290,A0101,4/16/2022,1/5/2024,629,Cash,Yes,Completed
S00175,P11138,C19771,A0265,12/10/2024,5/20/2026,526,Cash,No,Completed
S00176,P21116,C06249,A0378,3/9/2023,9/28/2025,934,Home Loan,Yes,Completed
S00177,P13664,C03194,A0055,12/22/2024,7/14/2026,569,Cash,No,Completed
S00178,P17761,C10159,A0422,1/16/2025,7/25/2025,190,NEFT,Yes,Completed
S00179,P25839,C07436,A0021,1/24/2023,10/28/2023,277,RTGS,Yes,Completed
S00180,P10022,C13604,A0438,10/7/2023,5/5/2024,211,NEFT,Yes,Completed
S00181,P16333,C16134,A0232,7/19/2022,9/30/2024,804,NEFT,No,Completed
S00182,P07835,C11797,A0390,7/29/2021,8/18/2024,1116,Home Loan,Yes,Completed
S00183,P17251,C12383,A0321,3/10/2026,4/20/2026,41,Home Loan,No,Completed
S00184,P29254,C00556,A0344,11/11/2021,3/15/2023,489,Bank Loan,No,Completed
S00185,P14143,C08856,A0221,12/11/2022,3/19/2024,464,UPI,Yes,Completed
S00186,P04427,C01523,A0461,9/12/2021,7/13/2023,669,NEFT,No,Completed
S00187,P26281,C06352,A0045,11/17/2021,3/19/2026,1583,Bank Loan,Yes,Completed
S00188,P13648,C02080,A0407,8/15/2023,8/26/2024,377,RTGS,No,Completed
S00189,P01330,C12665,A0238,6/20/2023,2/6/2025,597,Cash,No,Completed
S00190,P09017,C09829,A0191,7/19/2022,10/24/2023,462,Cash,Yes,Completed
S00191,P04747,C04732,A0010,11/2/2022,1/14/2024,438,RTGS,Yes,Completed
S00192,P05114,C08297,A0027,2/25/2026,3/6/2026,9,Bank Loan,No,Completed
S00193,P17759,C01097,A0447,7/28/2021,10/30/2024,1190,NEFT,No,Completed
S00194,P19146,C07839,A0347,5/26/2023,5/23/2025,728,RTGS,No,Completed
S00195,P12153,C04891,A0452,9/16/2022,2/8/2026,1241,Bank Loan,Yes,Completed
S00196,P02547,C03903,A0424,5/9/2022,11/23/2025,1294,Bank Loan,No,Completed
S00197,P15075,C07231,A0297,5/17/2023,12/2/2025,930,Cash,No,Completed
S00198,P00737,C02141,A0307,11/25/2023,1/20/2025,422,Bank Loan,Yes,Completed
S00199,P07943,C18431,A0118,4/6/2024,5/30/2026,784,RTGS,Yes,Completed
S00200,P06199,C10035,A0433,12/3/2022,1/12/2023,40,Bank Loan,No,Completed
S00201,P17741,C06387,A0233,1/25/2023,8/14/2024,567,RTGS,Yes,Completed
S00202,P28913,C15655,A0229,3/19/2025,2/15/2026,333,Cash,No,Completed
S00203,P08072,C11417,A0436,6/13/2024,10/16/2025,490,Bank Loan,Yes,Pending
S00204,P18070,C10495,A0347,10/23/2023,10/9/2025,717,UPI,Yes,Cancelled
S00205,P01785,C17328,A0186,10/4/2021,4/8/2022,186,Home Loan,No,Cancelled
S00206,P16741,C05109,A0227,9/11/2025,6/14/2026,276,Cash,No,Completed
S00207,P22960,C16567,A0440,9/26/2023,12/11/2025,807,Cash,No,Completed
S00208,P02425,C05698,A0207,8/27/2024,3/28/2026,578,RTGS,Yes,Completed
S00209,P25691,C09580,A0462,3/11/2024,7/20/2024,131,Home Loan,No,Completed
S00210,P22064,C11437,A0068,3/5/2025,8/4/2025,152,Bank Loan,No,Completed
S00211,P10497,C18180,A0180,7/6/2022,2/10/2023,219,Home Loan,Yes,Completed
S00212,P19902,C04448,A0477,5/2/2024,5/2/2026,730,Cash,No,Completed
S00213,P03361,C01862,A0400,3/18/2025,7/31/2025,135,RTGS,No,Pending
S00214,P03019,C12051,A0391,4/11/2023,6/25/2024,441,RTGS,Yes,Completed
S00215,P03416,C15029,A0493,5/21/2025,8/23/2025,94,NEFT,Yes,Completed
S00216,P12422,C01676,A0482,12/17/2021,10/25/2024,1043,Cash,No,Completed
S00217,P20971,C10853,A0488,1/26/2023,10/25/2025,1003,Home Loan,Yes,Completed
S00218,P19413,C12441,A0365,12/24/2022,6/10/2024,534,UPI,No,Completed
S00219,P27004,C18000,A0021,6/23/2022,7/28/2022,35,UPI,Yes,Completed
S00220,P28758,C08318,A0368,3/2/2024,1/27/2026,696,Cash,No,Completed
S00221,P10222,C04551,A0022,12/8/2021,4/9/2023,487,NEFT,Yes,Pending
S00222,P06195,C04522,A0071,10/27/2022,11/2/2022,6,Bank Loan,No,Completed
S00223,P27584,C01683,A0073,7/23/2021,10/30/2021,99,UPI,No,Completed
S00224,P10030,C12325,A0076,11/22/2022,6/17/2024,573,Cash,Yes,Completed
S00225,P20444,C19691,A0405,5/14/2022,4/29/2023,350,RTGS,No,Pending
S00226,P09183,C18892,A0373,10/7/2021,5/24/2022,229,RTGS,No,Completed
S00227,P24050,C00856,A0278,10/14/2025,3/25/2026,162,Cash,Yes,Pending
S00228,P17612,C12402,A0366,3/7/2026,6/29/2026,114,Home Loan,Yes,Cancelled
S00229,P20656,C04712,A0379,4/13/2025,3/19/2026,340,NEFT,Yes,Completed
S00230,P00831,C13251,A0423,6/2/2022,2/28/2026,1367,NEFT,No,Pending
S00231,P22115,C13356,A0117,5/23/2022,5/5/2023,347,NEFT,Yes,Completed
S00232,P14836,C00617,A0048,3/20/2024,10/10/2025,569,UPI,No,Completed
S00233,P26793,C07801,A0328,2/6/2025,11/7/2025,274,Cash,No,Completed
S00234,P12696,C01353,A0195,3/31/2024,8/1/2025,488,Cash,Yes,Completed
S00235,P06264,C08914,A0492,4/15/2023,11/19/2025,949,RTGS,Yes,Completed
S00236,P05484,C17647,A0025,12/14/2021,2/26/2022,74,NEFT,Yes,Completed
S00237,P19554,C08256,A0393,5/9/2023,9/26/2023,140,Cash,Yes,Completed
S00238,P26591,C16487,A0219,12/3/2022,4/18/2025,867,Home Loan,Yes,Completed
S00239,P29561,C02816,A0033,4/24/2026,5/7/2026,13,UPI,No,Pending
S00240,P20309,C06280,A0464,4/26/2024,1/6/2025,255,UPI,Yes,Pending
S00241,P05139,C13310,A0060,1/1/2023,10/11/2023,283,Cash,Yes,Cancelled
S00242,P07782,C15772,A0254,2/9/2024,10/17/2025,616,Cash,Yes,Completed
S00243,P22627,C01713,A0108,1/22/2026,2/10/2026,19,Home Loan,No,Completed
S00244,P23365,C05870,A0115,4/25/2022,3/3/2026,1408,RTGS,No,Completed
S00245,P18422,C00015,A0127,11/27/2021,12/27/2025,1491,Bank Loan,Yes,Completed
S00246,P26650,C04198,A0486,5/2/2022,9/19/2024,871,Bank Loan,Yes,Completed
S00247,P05876,C12202,A0164,1/13/2023,12/14/2025,1066,NEFT,No,Completed
S00248,P17457,C00253,A0013,9/24/2025,3/29/2026,186,UPI,No,Completed
S00249,P03720,C01290,A0367,7/12/2023,4/8/2026,1001,UPI,No,Pending
S00250,P08973,C10579,A0126,9/4/2021,4/13/2022,221,NEFT,Yes,Completed
S00251,P20599,C11351,A0024,1/21/2023,1/10/2026,1085,NEFT,No,Completed
S00252,P03863,C11488,A0079,10/23/2022,4/25/2026,1280,Cash,No,Completed
S00253,P25745,C05125,A0210,3/8/2024,5/23/2025,441,UPI,No,Completed
S00254,P20001,C03555,A0308,6/24/2024,8/3/2025,405,Bank Loan,No,Completed
S00255,P03616,C04655,A0072,6/9/2023,12/31/2023,205,RTGS,Yes,Completed
S00256,P21149,C06437,A0457,3/19/2022,7/31/2025,1230,NEFT,Yes,Completed
S00257,P20348,C03987,A0141,11/24/2023,7/23/2024,242,NEFT,Yes,Completed
S00258,P26228,C06882,A0014,1/27/2026,6/6/2026,130,Bank Loan,No,Completed
S00259,P18208,C04468,A0349,4/9/2025,5/9/2025,30,Bank Loan,No,Cancelled
S00260,P06998,C18150,A0303,8/17/2021,3/17/2023,577,Cash,No,Completed
S00261,P11299,C18688,A0310,11/19/2025,4/8/2026,140,NEFT,No,Completed
S00262,P09636,C15881,A0341,1/7/2025,9/23/2025,259,RTGS,No,Completed
S00263,P18648,C11759,A0271,1/6/2026,6/17/2026,162,Bank Loan,Yes,Completed
S00264,P10820,C00708,A0122,2/2/2024,8/23/2025,568,RTGS,Yes,Completed
S00265,P15525,C16795,A0304,8/25/2021,7/21/2023,695,NEFT,No,Completed
S00266,P12817,C14469,A0366,12/8/2023,6/3/2024,178,UPI,No,Completed
S00267,P05531,C11990,A0359,9/8/2024,4/9/2025,213,NEFT,No,Completed
S00268,P22735,C19651,A0434,7/24/2022,7/31/2023,372,UPI,Yes,Completed
S00269,P29902,C18501,A0327,7/4/2024,8/2/2024,29,Cash,Yes,Pending
S00270,P22499,C01884,A0204,10/7/2025,7/5/2026,271,Bank Loan,No,Completed
S00271,P02430,C08855,A0259,7/31/2023,6/10/2026,1045,NEFT,Yes,Completed
S00272,P11206,C00779,A0059,1/6/2026,4/19/2026,103,Cash,Yes,Completed
S00273,P25531,C12862,A0150,12/27/2025,6/19/2026,174,Bank Loan,Yes,Pending
S00274,P21570,C19425,A0314,8/26/2022,6/26/2025,1035,UPI,Yes,Completed
S00275,P18804,C06900,A0365,9/18/2021,11/12/2022,420,RTGS,Yes,Pending
S00276,P06537,C17429,A0078,11/9/2022,4/18/2025,891,Bank Loan,No,Completed
S00277,P05296,C14653,A0157,1/29/2025,6/3/2026,490,NEFT,No,Completed
S00278,P10016,C07419,A0045,11/26/2025,1/10/2026,45,RTGS,Yes,Pending
S00279,P00136,C17240,A0457,11/10/2025,4/18/2026,159,Home Loan,No,Completed
S00280,P11099,C11531,A0175,1/25/2022,8/20/2022,207,UPI,No,Completed
S00281,P05701,C08698,A0437,11/27/2023,1/2/2024,36,Cash,No,Completed
S00282,P17136,C12512,A0270,12/27/2023,7/12/2026,928,Bank Loan,No,Completed
S00283,P09748,C18719,A0392,8/19/2025,3/25/2026,218,RTGS,No,Completed
S00284,P28188,C01183,A0289,2/27/2022,7/7/2025,1226,Bank Loan,No,Completed
S00285,P22562,C10826,A0196,4/27/2024,4/6/2025,344,RTGS,Yes,Completed
S00286,P03327,C16018,A0094,10/11/2023,12/27/2024,443,RTGS,No,Completed
S00287,P17674,C18842,A0115,9/2/2022,1/24/2023,144,Cash,Yes,Completed
S00288,P10233,C11975,A0020,8/17/2022,11/26/2022,101,UPI,Yes,Completed
S00289,P03406,C09804,A0368,4/27/2023,6/20/2024,420,Bank Loan,No,Completed
S00290,P21814,C14726,A0424,5/21/2025,3/5/2026,288,Bank Loan,Yes,Completed
S00291,P25260,C12799,A0399,10/4/2022,8/29/2024,695,UPI,Yes,Completed
S00292,P09816,C13170,A0404,8/2/2023,1/17/2026,899,Home Loan,No,Completed
S00293,P07146,C03900,A0126,6/5/2022,6/15/2025,1106,NEFT,Yes,Completed
S00294,P18144,C17048,A0295,11/19/2023,2/14/2025,453,Home Loan,Yes,Completed
S00295,P22567,C13827,A0491,3/10/2025,8/7/2025,150,Bank Loan,Yes,Completed
S00296,P07708,C12287,A0349,9/1/2024,11/23/2024,83,NEFT,No,Completed
S00297,P05466,C07089,A0023,4/25/2023,1/28/2026,1009,RTGS,No,Completed
S00298,P04103,C11022,A0195,5/18/2022,10/31/2025,1262,Cash,No,Completed
S00299,P05588,C07078,A0245,11/14/2025,2/13/2026,91,UPI,Yes,Cancelled
S00300,P10796,C09311,A0036,8/1/2024,3/20/2025,231,UPI,No,Completed
S00301,P20983,C06240,A0294,9/15/2021,9/17/2021,2,RTGS,Yes,Completed
S00302,P25819,C13057,A0112,9/23/2024,11/13/2025,416,Home Loan,Yes,Completed
S00303,P20552,C05687,A0242,7/12/2022,5/30/2026,1418,RTGS,Yes,Completed
S00304,P16536,C11950,A0124,2/5/2025,12/26/2025,324,RTGS,No,Completed
S00305,P24607,C18464,A0399,12/8/2022,7/8/2024,578,NEFT,No,Completed
S00306,P29153,C05997,A0439,11/5/2021,7/16/2022,253,Cash,Yes,Completed
S00307,P29373,C15669,A0250,11/23/2025,12/20/2025,27,NEFT,No,Completed
S00308,P00491,C02748,A0111,5/26/2023,8/13/2023,79,NEFT,Yes,Completed
S00309,P14002,C11117,A0052,4/25/2025,4/17/2026,357,Cash,Yes,Completed
S00310,P22142,C17945,A0067,1/26/2024,5/25/2025,485,RTGS,Yes,Completed
S00311,P12067,C05851,A0269,1/6/2023,7/18/2025,924,Home Loan,No,Pending
S00312,P05392,C12492,A0086,1/21/2023,7/22/2025,913,Home Loan,Yes,Completed
