Sale_ID,Property_ID,Customer_ID,Agent_ID,Listing_Date,Sale_Date,Days_On_Market,Payment_Method,Loan_Approved,Sale_Status
S00045,P25610,C11055,A0433,2026-01-02,2026-05-30,148,Bank Loan,Yes,Completed
S00046,P25581,C02415,A0387,2023-10-30,2026-06-12,956,NEFT,No,Completed
S00047,P14231,C17482,A0325,2023-12-10,2024-03-06,87,Home Loan,No,Completed
S00048,P09219,C01102,A0424,2026-04-09,2026-06-05,57,Home Loan,Yes,Completed
S00049,P11256,C04531,A0486,2025-10-14,2026-04-25,193,NEFT,No,Completed
S00050,P16168,C13349,A0116,2023-04-18,2025-12-14,971,Bank Loan,Yes,Completed
S00051,P25604,C17620,A0114,2022-12-05,2025-06-24,932,NEFT,No,Completed
S00052,P04826,C07283,A0394,2025-02-01,2025-12-27,329,Bank Loan,Yes,Cancelled
S00053,P14613,C02630,A0017,2021-09-09,2022-04-15,218,Cash,Yes,Completed
S00054,P10135,C03154,A0410,2023-07-26,2023-11-02,99,RTGS,Yes,Completed
S00055,P10057,C11422,A0462,2022-10-20,2024-11-03,745,Cash,No,Completed
S00056,P26369,C15122,A0400,2025-01-30,2025-06-11,132,Home Loan,No,Completed
S00057,P08629,C03662,A0369,2024-06-27,2025-12-25,546,Cash,Yes,Completed
S00058,P12038,C01369,A0117,2021-08-27,2026-05-12,1719,UPI,No,Completed
S00059,P02141,C03104,A0227,2024-11-12,2025-09-29,321,Cash,Yes,Completed
S00060,P25043,C07274,A0385,2024-11-01,2024-11-28,27,Home Loan,No,Pending
S00061,P08755,C09103,A0239,2024-06-15,2025-07-30,410,Home Loan,Yes,Completed
S00062,P07693,C12276,A0215,2022-09-29,2025-10-27,1124,RTGS,No,Completed
S00063,P22436,C03843,A0408,2025-08-04,2025-09-03,30,RTGS,Yes,Completed
S00064,P15565,C04351,A0478,2024-09-19,2025-07-14,298,RTGS,Yes,Completed
S00065,P01900,C16125,A0195,2023-11-16,2024-09-21,310,Cash,Yes,Completed
S00066,P08009,C15361,A0326,2024-07-09,2025-01-26,201,Bank Loan,No,Completed
S00067,P26845,C02383,A0297,2021-08-20,2022-07-06,320,NEFT,Yes,Completed
S00068,P11639,C01405,A0172,2022-08-23,2026-02-19,1276,NEFT,Yes,Completed
S00069,P10709,C13138,A0009,2024-09-20,2026-04-04,561,NEFT,No,Completed
S00070,P16764,C00615,A0385,2023-03-24,2024-05-19,422,NEFT,No,Completed
S00071,P24481,C15762,A0088,2025-03-07,2026-03-29,387,Cash,Yes,Completed
S00072,P11107,C00335,A0416,2024-12-04,2026-05-15,527,Cash,No,Completed
S00073,P07328,C03099,A0452,2025-10-04,2025-10-14,10,Home Loan,Yes,Completed
S00074,P14982,C18621,A0107,2025-11-24,2026-06-19,207,Bank Loan,No,Completed
S00075,P19082,C08547,A0076,2024-11-23,2026-07-04,588,Bank Loan,No,Completed
S00076,P14702,C10752,A0326,2022-11-16,2022-12-15,29,UPI,No,Pending
S00077,P00871,C04194,A0436,2023-04-19,2024-05-20,397,RTGS,Yes,Completed
S00078,P26898,C08984,A0128,2025-12-10,2026-06-22,194,UPI,Yes,Pending
S00079,P18408,C18803,A0369,2022-03-16,2025-10-11,1305,Cash,No,Completed
S00080,P02979,C17665,A0224,2024-01-28,2025-04-18,446,Cash,Yes,Completed
S00081,P29686,C07495,A0047,2025-04-16,2026-01-13,272,Cash,Yes,Completed
S00082,P29424,C18943,A0409,2023-04-28,2025-06-01,765,Home Loan,Yes,Completed
S00083,P28614,C16601,A0464,2025-12-04,2026-01-10,37,UPI,No,Cancelled
S00084,P25836,C06451,A0405,2022-06-08,2026-03-01,1362,Home Loan,Yes,Completed
S00085,P28814,C18801,A0273,2026-04-10,2026-06-04,55,Cash,Yes,Completed
S00086,P20097,C17942,A0261,2022-11-17,2024-07-17,608,Cash,No,Completed
S00087,P02034,C08067,A0019,2023-04-23,2024-01-10,262,Home Loan,Yes,Completed
S00088,P27244,C07059,A0397,2022-07-28,2026-04-09,1351,Cash,Yes,Completed
S00089,P21829,C04400,A0428,2026-04-30,2026-05-30,30,Home Loan,Yes,Completed
S00090,P20014,C18250,A0398,2025-01-19,2025-07-24,186,Cash,Yes,Completed
S00091,P17414,C18542,A0295,2024-02-12,2025-09-19,585,UPI,Yes,Completed
S00092,P29531,C00129,A0017,2023-10-16,2025-10-27,742,Bank Loan,Yes,Completed
S00093,P04106,C08172,A0325,2024-08-26,2025-10-14,414,UPI,No,Completed
S00094,P13467,C08524,A0404,2025-07-18,2025-09-26,70,Cash,No,Completed
S00095,P25465,C06988,A0334,2024-01-20,2024-07-04,166,Home Loan,Yes,Completed
S00096,P24280,C16056,A0295,2022-06-14,2024-07-18,765,Home Loan,No,Completed
S00097,P07902,C04979,A0051,2023-10-17,2025-10-06,720,Cash,Yes,Completed
S00098,P21375,C12333,A0254,2022-12-22,2023-07-20,210,UPI,No,Completed
S00099,P02620,C01459,A0268,2026-04-26,2026-05-05,9,Cash,No,Cancelled
S00100,P19266,C02362,A0117,2021-10-26,2023-09-03,677,NEFT,No,Completed
S00101,P06127,C16044,A0280,2024-04-22,2025-06-23,427,UPI,No,Completed
S00102,P27399,C07966,A0078,2024-10-19,2025-07-30,284,RTGS,No,Completed
S00103,P15587,C09365,A0240,2025-12-12,2026-05-05,144,Bank Loan,No,Completed
S00104,P13072,C06535,A0315,2025-01-14,2025-09-11,240,Bank Loan,No,Completed
S00105,P08177,C16749,A0442,2021-11-19,2022-01-19,61,NEFT,Yes,Completed
S00106,P13860,C00770,A0119,2025-03-26,2025-06-24,90,UPI,Yes,Completed
S00107,P12867,C15558,A0467,2026-04-27,2026-05-10,13,Home Loan,Yes,Completed
S00108,P02113,C19755,A0211,2024-07-07,2024-10-07,92,Bank Loan,No,Completed
S00109,P08753,C03541,A0417,2026-02-10,2026-03-16,34,UPI,Yes,Completed
S00110,P01255,C13193,A0238,2024-01-04,2025-10-14,649,Bank Loan,Yes,Completed
S00111,P27508,C15343,A0424,2025-05-02,2025-06-13,42,Home Loan,Yes,Completed
S00112,P25489,C12449,A0265,2022-07-09,2022-12-13,157,RTGS,Yes,Completed
S00113,P12688,C08365,A0428,2025-11-10,2026-06-25,227,UPI,No,Completed
S00114,P12032,C01178,A0019,2022-06-23,2024-05-05,682,Home Loan,Yes,Completed
S00115,P09046,C12072,A0375,2025-10-11,2025-12-24,74,UPI,Yes,Completed
S00116,P21269,C14074,A0053,2023-10-11,2025-10-04,724,Bank Loan,No,Completed
S00117,P18897,C08709,A0072,2025-12-31,2026-02-17,48,Home Loan,Yes,Completed
S00118,P01577,C07729,A0265,2026-03-30,2026-04-28,29,Home Loan,Yes,Completed
S00119,P29276,C15281,A0401,2023-09-20,2025-11-28,800,UPI,Yes,Completed
S00120,P16600,C12589,A0293,2026-03-29,2026-05-13,45,Home Loan,Yes,Completed
S00121,P04383,C12828,A0397,2025-06-12,2026-06-04,357,Bank Loan,Yes,Completed
S00122,P02158,C10740,A0016,2025-06-30,2025-09-24,86,Bank Loan,No,Completed
S00123,P08267,C03323,A0307,2021-12-06,2022-07-24,230,Bank Loan,No,Completed
S00124,P28791,C10455,A0299,2024-01-05,2025-03-17,437,RTGS,Yes,Completed
S00125,P20818,C15367,A0176,2024-04-04,2025-08-08,491,Bank Loan,No,Completed
S00126,P23813,C17756,A0137,2023-01-07,2024-05-24,503,NEFT,Yes,Completed
S00127,P25754,C12068,A0387,2023-07-22,2025-01-25,553,Bank Loan,No,Pending
S00128,P16382,C04688,A0230,2022-11-19,2025-02-03,807,RTGS,Yes,Completed
S00129,P04031,C05330,A0003,2024-08-05,2025-11-10,462,UPI,No,Completed
S00130,P19094,C17000,A0225,2023-11-16,2024-12-19,399,Cash,No,Completed
S00131,P02820,C05659,A0390,2025-02-13,2026-03-29,409,UPI,Yes,Completed
S00132,P15643,C17677,A0476,2024-07-11,2026-01-23,561,Home Loan,No,Pending
S00133,P15648,C15625,A0126,2024-05-25,2026-05-23,728,Cash,No,Completed
S00134,P13435,C07150,A0350,2021-12-01,2024-10-19,1053,Home Loan,No,Completed
S00135,P29083,C05190,A0371,2024-05-29,2025-08-12,440,RTGS,No,Completed
S00136,P22521,C07242,A0436,2024-09-25,2026-06-23,636,Home Loan,Yes,Completed
S00137,P10249,C00095,A0392,2023-06-14,2024-01-11,211,UPI,Yes,Completed
S00138,P02369,C00194,A0074,2025-06-14,2025-09-01,79,Cash,Yes,Completed
S00139,P17078,C04418,A0250,2026-05-15,2026-05-29,14,NEFT,Yes,Completed
S00140,P09069,C02953,A0358,2024-05-18,2025-12-07,568,UPI,Yes,Completed
S00141,P05768,C18968,A0133,2025-03-29,2026-03-28,364,Bank Loan,Yes,Completed
S00142,P16435,C18765,A0286,2026-04-29,2026-05-22,23,Bank Loan,No,Completed
S00143,P26457,C06159,A0194,2021-10-14,2023-03-21,523,Bank Loan,Yes,Cancelled
S00144,P11909,C06781,A0293,2025-03-13,2025-07-24,133,UPI,No,Pending
S00145,P26583,C01835,A0386,2026-02-04,2026-04-20,75,RTGS,No,Completed
S00146,P17657,C18625,A0048,2022-09-28,2024-09-09,712,Cash,Yes,Completed
S00147,P28829,C18556,A0399,2022-10-21,2023-07-03,255,UPI,Yes,Completed
S00148,P02486,C02142,A0068,2023-07-18,2024-07-06,354,Home Loan,No,Completed
S00149,P16308,C10097,A0208,2024-11-30,2025-06-19,201,NEFT,No,Completed
S00150,P25004,C16971,A0364,2024-08-28,2025-11-10,439,Bank Loan,No,Pending
S00151,P04158,C18926,A0130,2022-12-12,2024-04-22,497,NEFT,Yes,Completed
S00152,P15239,C13925,A0202,2025-05-05,2025-06-03,29,RTGS,No,Completed
S00153,P04816,C01788,A0239,2022-10-06,2026-03-28,1269,NEFT,Yes,Completed
S00154,P02355,C10391,A0258,2024-08-17,2024-10-27,71,UPI,No,Completed
S00155,P12446,C02108,A0160,2023-02-12,2024-05-18,461,NEFT,Yes,Completed
S00156,P27841,C19387,A0179,2024-04-30,2024-12-21,235,Bank Loan,Yes,Completed
S00157,P02408,C04178,A0177,2024-05-14,2026-03-07,662,UPI,No,Completed
S00158,P20586,C16725,A0180,2024-03-17,2024-05-01,45,Home Loan,No,Completed
S00159,P05483,C06752,A0314,2021-09-04,2026-01-21,1600,Cash,Yes,Completed
S00160,P07164,C13957,A0267,2022-07-21,2022-08-13,23,Bank Loan,No,Completed
S00161,P01695,C01339,A0049,2023-09-21,2024-06-11,264,Cash,No,Pending
S00162,P28399,C03267,A0188,2024-08-12,2025-07-24,346,UPI,No,Completed
S00163,P14822,C13714,A0171,2025-06-16,2025-10-06,112,NEFT,No,Completed
S00164,P28412,C06668,A0028,2023-05-30,2025-10-21,875,Bank Loan,No,Completed
S00165,P21091,C02218,A0367,2022-01-17,2026-06-20,1615,NEFT,Yes,Completed
S00166,P09410,C01479,A0259,2024-07-02,2026-06-23,721,NEFT,Yes,Completed
S00167,P07283,C07771,A0189,2025-08-01,2026-05-14,286,RTGS,Yes,Completed
S00168,P24045,C02393,A0072,2025-11-20,2025-12-22,32,UPI,No,Completed
S00169,P17519,C17872,A0046,2023-01-04,2025-06-03,881,UPI,No,Cancelled
S00170,P05212,C11371,A0324,2025-09-07,2026-06-06,272,RTGS,No,Completed
S00171,P05719,C14800,A0211,2021-07-16,2021-11-26,133,Home Loan,No,Completed
S00172,P26214,C07910,A0427,2022-10-08,2026-06-30,1361,RTGS,No,Completed
S00173,P12270,C19513,A0365,2022-08-28,2025-10-06,1135,UPI,Yes,Completed
S00174,P29068,C13290,A0101,2022-04-16,2024-01-05,629,Cash,Yes,Completed
S00175,P11138,C19771,A0265,2024-12-10,2026-05-20,526,Cash,No,Completed
S00176,P21116,C06249,A0378,2023-03-09,2025-09-28,934,Home Loan,Yes,Completed
S00177,P13664,C03194,A0055,2024-12-22,2026-07-14,569,Cash,No,Completed
S00178,P17761,C10159,A0422,2025-01-16,2025-07-25,190,NEFT,Yes,Completed
S00179,P25839,C07436,A0021,2023-01-24,2023-10-28,277,RTGS,Yes,Completed
S00180,P10022,C13604,A0438,2023-10-07,2024-05-05,211,NEFT,Yes,Completed
S00181,P16333,C16134,A0232,2022-07-19,2024-09-30,804,NEFT,No,Completed
S00182,P07835,C11797,A0390,2021-07-29,2024-08-18,1116,Home Loan,Yes,Completed
S00183,P17251,C12383,A0321,2026-03-10,2026-04-20,41,Home Loan,No,Completed
S00184,P29254,C00556,A0344,2021-11-11,2023-03-15,489,Bank Loan,No,Completed
S00185,P14143,C08856,A0221,2022-12-11,2024-03-19,464,UPI,Yes,Completed
S00186,P04427,C01523,A0461,2021-09-12,2023-07-13,669,NEFT,No,Completed
S00187,P26281,C06352,A0045,2021-11-17,2026-03-19,1583,Bank Loan,Yes,Completed
S00188,P13648,C02080,A0407,2023-08-15,2024-08-26,377,RTGS,No,Completed
S00189,P01330,C12665,A0238,2023-06-20,2025-02-06,597,Cash,No,Completed
S00190,P09017,C09829,A0191,2022-07-19,2023-10-24,462,Cash,Yes,Completed
S00191,P04747,C04732,A0010,2022-11-02,2024-01-14,438,RTGS,Yes,Completed
S00192,P05114,C08297,A0027,2026-02-25,2026-03-06,9,Bank Loan,No,Completed
S00193,P17759,C01097,A0447,2021-07-28,2024-10-30,1190,NEFT,No,Completed
S00194,P19146,C07839,A0347,2023-05-26,2025-05-23,728,RTGS,No,Completed
S00195,P12153,C04891,A0452,2022-09-16,2026-02-08,1241,Bank Loan,Yes,Completed
S00196,P02547,C03903,A0424,2022-05-09,2025-11-23,1294,Bank Loan,No,Completed
S00197,P15075,C07231,A0297,2023-05-17,2025-12-02,930,Cash,No,Completed
S00198,P00737,C02141,A0307,2023-11-25,2025-01-20,422,Bank Loan,Yes,Completed
S00199,P07943,C18431,A0118,2024-04-06,2026-05-30,784,RTGS,Yes,Completed
S00200,P06199,C10035,A0433,2022-12-03,2023-01-12,40,Bank Loan,No,Completed
S00201,P17741,C06387,A0233,2023-01-25,2024-08-14,567,RTGS,Yes,Completed
S00202,P28913,C15655,A0229,2025-03-19,2026-02-15,333,Cash,No,Completed
S00203,P08072,C11417,A0436,2024-06-13,2025-10-16,490,Bank Loan,Yes,Pending
S00204,P18070,C10495,A0347,2023-10-23,2025-10-09,717,UPI,Yes,Cancelled
S00205,P01785,C17328,A0186,2021-10-04,2022-04-08,186,Home Loan,No,Cancelled
S00206,P16741,C05109,A0227,2025-09-11,2026-06-14,276,Cash,No,Completed
S00207,P22960,C16567,A0440,2023-09-26,2025-12-11,807,Cash,No,Completed
S00208,P02425,C05698,A0207,2024-08-27,2026-03-28,578,RTGS,Yes,Completed
S00209,P25691,C09580,A0462,2024-03-11,2024-07-20,131,Home Loan,No,Completed
S00210,P22064,C11437,A0068,2025-03-05,2025-08-04,152,Bank Loan,No,Completed
S00211,P10497,C18180,A0180,2022-07-06,2023-02-10,219,Home Loan,Yes,Completed
S00212,P19902,C04448,A0477,2024-05-02,2026-05-02,730,Cash,No,Completed
S00213,P03361,C01862,A0400,2025-03-18,2025-07-31,135,RTGS,No,Pending
S00214,P03019,C12051,A0391,2023-04-11,2024-06-25,441,RTGS,Yes,Completed
S00215,P03416,C15029,A0493,2025-05-21,2025-08-23,94,NEFT,Yes,Completed
S00216,P12422,C01676,A0482,2021-12-17,2024-10-25,1043,Cash,No,Completed
S00217,P20971,C10853,A0488,2023-01-26,2025-10-25,1003,Home Loan,Yes,Completed
S00218,P19413,C12441,A0365,2022-12-24,2024-06-10,534,UPI,No,Completed
S00219,P27004,C18000,A0021,2022-06-23,2022-07-28,35,UPI,Yes,Completed
S00220,P28758,C08318,A0368,2024-03-02,2026-01-27,696,Cash,No,Completed
S00221,P10222,C04551,A0022,2021-12-08,2023-04-09,487,NEFT,Yes,Pending
S00222,P06195,C04522,A0071,2022-10-27,2022-11-02,6,Bank Loan,No,Completed
S00223,P27584,C01683,A0073,2021-07-23,2021-10-30,99,UPI,No,Completed
S00224,P10030,C12325,A0076,2022-11-22,2024-06-17,573,Cash,Yes,Completed
S00225,P20444,C19691,A0405,2022-05-14,2023-04-29,350,RTGS,No,Pending
S00226,P09183,C18892,A0373,2021-10-07,2022-05-24,229,RTGS,No,Completed
S00227,P24050,C00856,A0278,2025-10-14,2026-03-25,162,Cash,Yes,Pending
S00228,P17612,C12402,A0366,2026-03-07,2026-06-29,114,Home Loan,Yes,Cancelled
S00229,P20656,C04712,A0379,2025-04-13,2026-03-19,340,NEFT,Yes,Completed
S00230,P00831,C13251,A0423,2022-06-02,2026-02-28,1367,NEFT,No,Pending
S00231,P22115,C13356,A0117,2022-05-23,2023-05-05,347,NEFT,Yes,Completed
S00232,P14836,C00617,A0048,2024-03-20,2025-10-10,569,UPI,No,Completed
S00233,P26793,C07801,A0328,2025-02-06,2025-11-07,274,Cash,No,Completed
S00234,P12696,C01353,A0195,2024-03-31,2025-08-01,488,Cash,Yes,Completed
S00235,P06264,C08914,A0492,2023-04-15,2025-11-19,949,RTGS,Yes,Completed
S00236,P05484,C17647,A0025,2021-12-14,2022-02-26,74,NEFT,Yes,Completed
S00237,P19554,C08256,A0393,2023-05-09,2023-09-26,140,Cash,Yes,Completed
S00238,P26591,C16487,A0219,2022-12-03,2025-04-18,867,Home Loan,Yes,Completed
S00239,P29561,C02816,A0033,2026-04-24,2026-05-07,13,UPI,No,Pending
S00240,P20309,C06280,A0464,2024-04-26,2025-01-06,255,UPI,Yes,Pending
S00241,P05139,C13310,A0060,2023-01-01,2023-10-11,283,Cash,Yes,Cancelled
S00242,P07782,C15772,A0254,2024-02-09,2025-10-17,616,Cash,Yes,Completed
S00243,P22627,C01713,A0108,2026-01-22,2026-02-10,19,Home Loan,No,Completed
S00244,P23365,C05870,A0115,2022-04-25,2026-03-03,1408,RTGS,No,Completed
S00245,P18422,C00015,A0127,2021-11-27,2025-12-27,1491,Bank Loan,Yes,Completed
S00246,P26650,C04198,A0486,2022-05-02,2024-09-19,871,Bank Loan,Yes,Completed
S00247,P05876,C12202,A0164,2023-01-13,2025-12-14,1066,NEFT,No,Completed
S00248,P17457,C00253,A0013,2025-09-24,2026-03-29,186,UPI,No,Completed
S00249,P03720,C01290,A0367,2023-07-12,2026-04-08,1001,UPI,No,Pending
S00250,P08973,C10579,A0126,2021-09-04,2022-04-13,221,NEFT,Yes,Completed
S00251,P20599,C11351,A0024,2023-01-21,2026-01-10,1085,NEFT,No,Completed
S00252,P03863,C11488,A0079,2022-10-23,2026-04-25,1280,Cash,No,Completed
S00253,P25745,C05125,A0210,2024-03-08,2025-05-23,441,UPI,No,Completed
S00254,P20001,C03555,A0308,2024-06-24,2025-08-03,405,Bank Loan,No,Completed
S00255,P03616,C04655,A0072,2023-06-09,2023-12-31,205,RTGS,Yes,Completed
S00256,P21149,C06437,A0457,2022-03-19,2025-07-31,1230,NEFT,Yes,Completed
S00257,P20348,C03987,A0141,2023-11-24,2024-07-23,242,NEFT,Yes,Completed
S00258,P26228,C06882,A0014,2026-01-27,2026-06-06,130,Bank Loan,No,Completed
S00259,P18208,C04468,A0349,2025-04-09,2025-05-09,30,Bank Loan,No,Cancelled
S00260,P06998,C18150,A0303,2021-08-17,2023-03-17,577,Cash,No,Completed
S00261,P11299,C18688,A0310,2025-11-19,2026-04-08,140,NEFT,No,Completed
S00262,P09636,C15881,A0341,2025-01-07,2025-09-23,259,RTGS,No,Completed
S00263,P18648,C11759,A0271,2026-01-06,2026-06-17,162,Bank Loan,Yes,Completed
S00264,P10820,C00708,A0122,2024-02-02,2025-08-23,568,RTGS,Yes,Completed
S00265,P15525,C16795,A0304,2021-08-25,2023-07-21,695,NEFT,No,Completed
S00266,P12817,C14469,A0366,2023-12-08,2024-06-03,178,UPI,No,Completed
S00267,P05531,C11990,A0359,2024-09-08,2025-04-09,213,NEFT,No,Completed
S00268,P22735,C19651,A0434,2022-07-24,2023-07-31,372,UPI,Yes,Completed
S00269,P29902,C18501,A0327,2024-07-04,2024-08-02,29,Cash,Yes,Pending
S00270,P22499,C01884,A0204,2025-10-07,2026-07-05,271,Bank Loan,No,Completed
S00271,P02430,C08855,A0259,2023-07-31,2026-06-10,1045,NEFT,Yes,Completed
S00272,P11206,C00779,A0059,2026-01-06,2026-04-19,103,Cash,Yes,Completed
S00273,P25531,C12862,A0150,2025-12-27,2026-06-19,174,Bank Loan,Yes,Pending
S00274,P21570,C19425,A0314,2022-08-26,2025-06-26,1035,UPI,Yes,Completed
S00275,P18804,C06900,A0365,2021-09-18,2022-11-12,420,RTGS,Yes,Pending
S00276,P06537,C17429,A0078,2022-11-09,2025-04-18,891,Bank Loan,No,Completed
S00277,P05296,C14653,A0157,2025-01-29,2026-06-03,490,NEFT,No,Completed
S00278,P10016,C07419,A0045,2025-11-26,2026-01-10,45,RTGS,Yes,Pending
S00279,P00136,C17240,A0457,2025-11-10,2026-04-18,159,Home Loan,No,Completed
S00280,P11099,C11531,A0175,2022-01-25,2022-08-20,207,UPI,No,Completed
S00281,P05701,C08698,A0437,2023-11-27,2024-01-02,36,Cash,No,Completed
S00282,P17136,C12512,A0270,2023-12-27,2026-07-12,928,Bank Loan,No,Completed
S00283,P09748,C18719,A0392,2025-08-19,2026-03-25,218,RTGS,No,Completed
S00284,P28188,C01183,A0289,2022-02-27,2025-07-07,1226,Bank Loan,No,Completed
S00285,P22562,C10826,A0196,2024-04-27,2025-04-06,344,RTGS,Yes,Completed
S00286,P03327,C16018,A0094,2023-10-11,2024-12-27,443,RTGS,No,Completed
S00287,P17674,C18842,A0115,2022-09-02,2023-01-24,144,Cash,Yes,Completed
S00288,P10233,C11975,A0020,2022-08-17,2022-11-26,101,UPI,Yes,Completed
S00289,P03406,C09804,A0368,2023-04-27,2024-06-20,420,Bank Loan,No,Completed
S00290,P21814,C14726,A0424,2025-05-21,2026-03-05,288,Bank Loan,Yes,Completed
S00291,P25260,C12799,A0399,2022-10-04,2024-08-29,695,UPI,Yes,Completed
S00292,P09816,C13170,A0404,2023-08-02,2026-01-17,899,Home Loan,No,Completed
S00293,P07146,C03900,A0126,2022-06-05,2025-06-15,1106,NEFT,Yes,Completed
S00294,P18144,C17048,A0295,2023-11-19,2025-02-14,453,Home Loan,Yes,Completed
S00295,P22567,C13827,A0491,2025-03-10,2025-08-07,150,Bank Loan,Yes,Completed
S00296,P07708,C12287,A0349,2024-09-01,2024-11-23,83,NEFT,No,Completed
S00297,P05466,C07089,A0023,2023-04-25,2026-01-28,1009,RTGS,No,Completed
S00298,P04103,C11022,A0195,2022-05-18,2025-10-31,1262,Cash,No,Completed
S00299,P05588,C07078,A0245,2025-11-14,2026-02-13,91,UPI,Yes,Cancelled
S00300,P10796,C09311,A0036,2024-08-01,2025-03-20,231,UPI,No,Completed
S00301,P20983,C06240,A0294,2021-09-15,2021-09-17,2,RTGS,Yes,Completed
S00302,P25819,C13057,A0112,2024-09-23,2025-11-13,416,Home Loan,Yes,Completed
S00303,P20552,C05687,A0242,2022-07-12,2026-05-30,1418,RTGS,Yes,Completed
S00304,P16536,C11950,A0124,2025-02-05,2025-12-26,324,RTGS,No,Completed
S00305,P24607,C18464,A0399,2022-12-08,2024-07-08,578,NEFT,No,Completed
S00306,P29153,C05997,A0439,2021-11-05,2022-07-16,253,Cash,Yes,Completed
S00307,P29373,C15669,A0250,2025-11-23,2025-12-20,27,NEFT,No,Completed
S00308,P00491,C02748,A0111,2023-05-26,2023-08-13,79,NEFT,Yes,Completed
S00309,P14002,C11117,A0052,2025-04-25,2026-04-17,357,Cash,Yes,Completed
S00310,P22142,C17945,A0067,2024-01-26,2025-05-25,485,RTGS,Yes,Completed
S00311,P12067,C05851,A0269,2023-01-06,2025-07-18,924,Home Loan,No,Pending
S00312,P05392,C12492,A0086,2023-01-21,2025-07-22,913,Home Loan,Yes,Completed
